State,Jan.,Feb.
Alabama,2.7,2.7
Alaska,6,5.8
Arizona,4.5,4.5
Arkansas,3.5,3.9
California,3.9,2.5
Colorado,2.5,2.8
Connecticut,3.7,3.9
Delaware,4,5.2
D.C.,5.2,2.8
Florida,2.8,3.1
Georgia,3.1,2.7
Hawaii,2.7,2.7
Idaho,2.8,3.4
Illinois,3.5,3.1
Indiana,3.1,2.8
Iowa,2.8,3.1
Kansas,3.1,4.2
Kentucky,4.3,5.2
Louisiana,5.1,3.2
Maine,3.1,3.3
Maryland,3.3,2.8
Massachusetts,2.8,3.6
Michigan,3.8,3.1
Minnesota,3.2,5.4
Mississippi,5.5,3.5
Missouri,3.5,3.5
Montana,3.5,2.9
Nebraska,3.9,3.6
Nevada,3.6,3.6
New Hampshire,2.6,3.8
New Jersey,3.8,4.8
New Mexico,4.8,3.7
New York,3.8,3.6
North Carolina,3.6,2.2
North Dakota,2.3,4.2
Ohio,4.1,3.2
Oklahoma,3.3,3.3
Oregon,3.3,4.7
Pennsylvania,4.7,3.4
Rhode Island,3.1,2.5
South Carolina,2.4,3.3
South Dakota,3.4,3.4
Tennessee,3.3,3.5
Texas,4.5,2.5
Utah,2.5,3.4
Vermont,2.4,2.6
Virginia,2.7,3.8
Washington,3.9,4.9
West Virginia,5,3.7
Wisconsin,3.5,2.7
Wyoming,3.7,5.8
Puerto Rico,8.9,4.5
